Date,Open,High,Low,Close,Volume,Change
1993-08-09,45.09375,45.34375,45.0,45.21875,828200,0.005559416261292564
1993-08-10,45.1875,45.21875,45.125,45.1875,604900,-0.000691085003455425
1993-08-11,45.15625,45.3125,45.15625,45.1875,542200,0.0
1993-08-12,45.3125,45.3125,44.90625,45.0625,303700,-0.0027662517289073307
1993-08-13,45.09375,45.15625,45.09375,45.125,103500,0.0013869625520110957
1993-08-16,45.15625,45.5,45.15625,45.375,241800,0.00554016620498615
1993-08-17,45.34375,45.53125,45.34375,45.53125,369300,0.003443526170798898
1993-08-18,45.6875,45.875,45.65625,45.78125,414300,0.00549073438572409
1993-08-19,45.8125,45.8125,45.71875,45.78125,28500,0.0
1993-08-20,45.6875,45.8125,45.65625,45.8125,80700,0.0006825938566552901
1993-08-23,45.625,45.75,45.625,45.71875,15600,-0.0020463847203274215
1993-08-24,45.71875,46.21875,45.71875,46.21875,273400,0.010936431989063569
1993-08-25,46.21875,46.4375,46.15625,46.25,242300,0.000676132521974307
1993-08-26,46.28125,46.53125,46.09375,46.28125,120000,0.0006756756756756757
1993-08-27,46.15625,46.25,46.15625,46.25,25700,-0.0006752194463200541
1993-08-30,46.28125,46.5,46.28125,46.4375,183500,0.004054054054054054
1993-08-31,46.40625,46.5625,46.34375,46.5625,66500,0.0026917900403768506
1993-09-01,46.40625,46.59375,46.40625,46.5,136500,-0.0013422818791946308
1993-09-02,46.53125,46.59375,46.3125,46.34375,472400,-0.003360215053763441
1993-09-03,46.3125,46.4375,46.25,46.375,630500,0.0006743088334457181
1993-09-07,46.375,46.4375,46.0,46.0625,196400,-0.006738544474393531
1993-09-08,46.0625,46.0625,45.59375,45.90625,269900,-0.0033921302578018998
1993-09-09,45.71875,46.03125,45.71875,46.0,239200,0.0020422055820285907
1993-09-10,46.125,46.4375,46.0625,46.40625,106500,0.008831521739130434
1993-09-13,46.5625,46.5625,46.4375,46.4375,66900,0.0006734006734006734
